time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
0.971807,0,0,0,0
0.973550,0,0,0,0
0.975286,0,0,0,0
0.977075,0,0,0,0
0.978803,0,0,0,0
0.980541,0,0,0,0
0.982268,0,0,0,0
0.984008,0,0,0,0
0.985776,0,0,0,0
0.987505,0,0,0,0
0.989246,0,0,0,0
0.990974,0,0,0,0
0.992713,0,0,0,0
0.994439,0,0,0,0
0.996230,0,0,0,0
0.997970,0,0,0,0
0.999701,0,0,0,0
1.001447,0,0,0,0
1.003174,0,0,0,0
1.004936,0,0,0,0
1.006667,0,0,0,0
1.008401,0,0,0,0
1.010128,0,0,0,0
1.011861,0,0,0,0
1.013619,0,0,0,0
1.015348,0,0,0,0
1.017149,0,0,0,0
1.018874,0,0,0,0
1.020611,0,0,0,0
1.022337,0,0,0,0
1.024075,0,0,0,0
1.025842,0,0,0,0
1.027571,0,0,0,0
1.029308,0,0,0,0
1.031035,0,0,0,0
1.032889,0,0,0,0
1.034616,0,0,0,0
1.036411,0,0,0,0
1.038138,0,0,0,0
1.039865,0,0,0,0
1.041609,0,0,0,0
1.043336,0,0,0,0
1.045103,0,0,0,0
1.046831,0,0,0,0
1.048569,0,0,0,0
1.050295,0,0,0,0
1.052020,0,0,0,0
1.053761,0,0,0,0
1.055489,0,0,0,0
1.057292,0,0,0,0
1.059018,0,0,0,0
1.060762,0,0,0,0
1.062496,0,0,0,0
1.064231,0,0,0,0
1.065997,0,0,0,0
1.067725,0,0,0,0
1.069463,0,0,0,0
1.071190,0,0,0,0
1.072927,0,0,0,0
1.074654,0,0,0,0
1.076425,0,0,0,0
1.078152,0,0,0,0
1.079879,0,0,0,0
1.081622,0,0,0,0
1.083349,0,0,0,0
1.085117,0,0,0,0
1.086854,0,0,0,0
1.088591,0,0,0,0
1.090317,0,0,0,0
1.092045,0,0,0,0
1.093787,0,0,0,0
1.095513,0,0,0,0
1.097301,0,0,0,0
1.099028,0,0,0,0
1.100768,0,0,0,0
1.102495,0,0,0,0
1.104225,0,0,0,0
1.105995,0,0,0,0
1.107725,0,0,0,0
1.109468,0,0,0,0
1.111195,0,0,0,0
1.112933,0,0,0,0
1.114659,0,0,0,0
1.116417,0,0,0,0
1.118159,0,0,0,0
1.119887,0,0,0,0
1.121631,0,0,0,0
1.123356,0,0,0,0
1.125115,0,0,0,0
1.126853,0,0,0,0
1.128590,0,0,0,0
1.130317,0,0,0,0
1.132044,0,0,0,0
1.133786,0,0,0,0
1.135513,0,0,0,0
1.137300,0,0,0,0
1.139026,0,0,0,0
1.140764,0,0,0,0
1.142491,0,0,0,0
1.144216,0,0,0,0
1.145995,0,0,0,0
1.147750,0,0,0,0
1.149487,0,0,0,0
1.151214,0,0,0,0
1.152953,0,0,0,0
1.154680,0,0,0,0
1.156434,0,0,0,0
1.158179,0,0,0,0
1.159906,0,0,0,0
1.161646,0,0,0,0
1.163374,0,0,0,0
1.165135,0,0,0,0
1.166875,0,0,0,0
1.168612,0,0,0,0
1.170340,0,0,0,0
1.172065,0,0,0,0
1.173808,0,0,0,0
1.175535,0,0,0,0
1.177335,0,0,0,0
1.179061,0,0,0,0
1.180799,0,0,0,0
1.182529,0,0,0,0
1.184254,0,0,0,0
1.186031,0,0,0,0
1.187761,0,0,0,0
1.189498,0,0,0,0
1.191225,0,0,0,0
1.192963,0,0,0,0
1.194689,0,0,0,0
1.196432,0,0,0,0
1.198200,0,0,0,0
1.199926,0,0,0,0
1.201668,0,0,0,0
1.203398,0,0,0,0
1.205153,0,0,0,0
1.206904,0,0,0,0
1.208641,0,0,0,0
1.210366,0,0,0,0
1.212093,0,0,0,0
1.213833,0,0,0,0
1.215559,0,0,0,0
1.217360,0,0,0,0
1.219086,0,0,0,0
1.220823,0,0,0,0
1.222549,0,0,0,0
