time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
0.844378,0,0,0,0
0.846766,0,0,0,0
0.848496,0,0,0,0
0.850281,0,0,0,0
0.852026,0,0,0,0
0.853754,0,0,0,0
0.855483,0,0,0,0
0.857210,0,0,0,0
0.858956,0,0,0,0
0.860685,0,0,0,0
0.862427,0,0,0,0
0.864176,0,0,0,0
0.865916,0,0,0,0
0.867646,0,0,0,0
0.869406,0,0,0,0
0.871190,0,0,0,0
0.872919,0,0,0,0
0.874658,0,0,0,0
0.876387,0,0,0,0
0.878126,0,0,0,0
0.879855,0,0,0,0
0.881586,0,0,0,0
0.883348,0,0,0,0
0.885079,0,0,0,0
0.886823,0,0,0,0
0.888552,0,0,0,0
0.890353,0,0,0,0
0.892101,0,0,0,0
0.893834,0,0,0,0
0.895563,0,0,0,0
0.897292,0,0,0,0
0.899035,0,0,0,0
0.900766,0,0,0,0
0.902505,0,0,0,0
0.904258,0,0,0,0
0.906004,0,0,0,0
0.907733,0,0,0,0
0.909494,0,0,0,0
0.911271,0,0,0,0
0.913000,0,0,0,0
0.914738,0,0,0,0
0.916471,0,0,0,0
0.918210,0,0,0,0
0.919939,0,0,0,0
0.921670,0,0,0,0
0.923420,0,0,0,0
0.925149,0,0,0,0
0.926920,0,0,0,0
0.928652,0,0,0,0
0.930456,0,0,0,0
0.932212,0,0,0,0
0.933952,0,0,0,0
0.935682,0,0,0,0
0.937413,0,0,0,0
0.939156,0,0,0,0
0.940887,0,0,0,0
0.942629,0,0,0,0
0.944383,0,0,0,0
0.946124,0,0,0,0
0.947855,0,0,0,0
0.949611,0,0,0,0
0.951386,0,0,0,0
0.953117,0,0,0,0
0.954858,0,0,0,0
0.956588,0,0,0,0
0.958328,0,0,0,0
0.960057,0,0,0,0
0.961790,0,0,0,0
0.963540,0,0,0,0
0.965270,0,0,0,0
0.967015,0,0,0,0
0.968745,0,0,0,0
0.970576,0,0,0,0
0.972325,0,0,0,0
0.974066,0,0,0,0
0.975796,0,0,0,0
0.977524,0,0,0,0
0.979269,0,0,0,0
0.981002,0,0,0,0
0.982741,0,0,0,0
0.984489,0,0,0,0
0.986232,0,0,0,0
0.987961,0,0,0,0
0.989714,0,0,0,0
0.991475,0,0,0,0
0.993203,0,0,0,0
0.994947,0,0,0,0
0.996685,0,0,0,0
0.998425,0,0,0,0
1.000155,0,0,0,0
1.001897,0,0,0,0
1.003638,0,0,0,0
1.005367,0,0,0,0
1.007111,0,0,0,0
1.008841,0,0,0,0
1.010641,0,0,0,0
1.012395,0,0,0,0
1.014139,0,0,0,0
1.015869,0,0,0,0
1.017600,0,0,0,0
1.019341,0,0,0,0
1.021077,0,0,0,0
1.022823,0,0,0,0
1.024572,0,0,0,0
1.026313,0,0,0,0
1.028042,0,0,0,0
1.029793,0,0,0,0
1.031571,0,0,0,0
1.033302,0,0,0,0
1.035047,0,0,0,0
1.036775,0,0,0,0
1.038516,0,0,0,0
1.040246,0,0,0,0
1.041986,0,0,0,0
