time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU1_L0,GPU1_L1,GPU1_L2,GPU1_L3,GPU2_L0,GPU2_L1,GPU2_L2,GPU2_L3,GPU2_L4,GPU3_L0,GPU3_L1,GPU3_L2,GPU3_L3,GPU3_L4
0.641951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.645497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.649061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.652735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.656294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.659853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.663467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.667027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.670604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.674161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.677708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.681272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.684862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.688422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.695567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.699126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.702738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.706299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.709868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.713411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.716967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.720532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.724144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.727703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.731283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.734847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.738418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.742048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.745599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.749152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.752753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.756343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.759931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.763566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.767160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.774569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.778160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.781732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
