time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
1.017248,0,0,0,0,0,0
1.019649,0,0,0,0,0,0
1.022024,0,0,0,0,0,0
1.024426,0,0,0,0,0,0
1.026820,0,0,0,0,0,0
1.029205,0,0,0,0,0,0
1.031612,0,0,0,0,0,0
1.034006,0,0,0,0,0,0
1.036407,0,0,0,0,0,0
1.038777,0,0,0,0,0,0
1.041189,0,0,0,0,0,0
1.043595,0,0,0,0,0,0
1.045995,0,0,0,0,0,0
1.048379,0,0,0,0,0,0
1.050767,0,0,0,0,0,0
1.053161,0,0,0,0,0,0
1.055547,0,0,0,0,0,0
1.057938,0,0,0,0,0,0
1.060339,0,0,0,0,0,0
1.062725,0,0,0,0,0,0
1.065141,0,0,0,0,0,0
1.067531,0,0,0,0,0,0
1.069905,0,0,0,0,0,0
1.072302,0,0,0,0,0,0
1.074689,0,0,0,0,0,0
1.077090,0,0,0,0,0,0
1.079467,0,0,0,0,0,0
1.081868,0,0,0,0,0,0
1.084273,0,0,0,0,0,0
1.086661,0,0,0,0,0,0
1.089048,0,0,0,0,0,0
1.091430,0,0,0,0,0,0
1.093818,0,0,0,0,0,0
1.096213,0,0,0,0,0,0
1.098586,0,0,0,0,0,0
1.100991,0,0,0,0,0,0
1.103372,0,0,0,0,0,0
1.105768,0,0,0,0,0,0
1.108158,0,0,0,0,0,0
1.110546,0,0,0,0,0,0
1.112942,0,0,0,0,0,0
1.115325,0,0,0,0,0,0
1.117720,0,0,0,0,0,0
1.120109,0,0,0,0,0,0
1.122496,0,0,0,0,0,0
1.124995,0,0,0,0,0,0
1.127380,0,0,0,0,0,0
1.129751,0,0,0,0,0,0
1.132150,0,0,0,0,0,0
1.134528,0,0,0,0,0,0
1.136934,0,0,0,0,0,0
1.139308,0,0,0,0,0,0
1.141701,0,0,0,0,0,0
1.144094,0,0,0,0,0,0
1.146492,0,0,0,0,0,0
1.148874,0,0,0,0,0,0
1.151253,0,0,0,0,0,0
1.153651,0,0,0,0,0,0
1.156025,0,0,0,0,0,0
1.158408,0,0,0,0,0,0
1.160813,0,0,0,0,0,0
1.163193,0,0,0,0,0,0
1.165594,0,0,0,0,0,0
1.167987,0,0,0,0,0,0
1.171203,0,0,0,0,0,0
1.173931,0,0,0,0,0,0
1.176353,0,0,0,0,0,0
1.178749,0,0,0,0,0,0
1.181177,0,0,0,0,0,0
1.183600,0,0,0,0,0,0
1.186002,0,0,0,0,0,0
1.188418,0,0,0,0,0,0
1.190818,0,0,0,0,0,0
1.193229,0,0,0,0,0,0
1.195641,0,0,0,0,0,0
1.198039,0,0,0,0,0,0
1.200443,0,0,0,0,0,0
1.202843,0,0,0,0,0,0
1.205269,0,0,0,0,0,0
1.207699,0,0,0,0,0,0
1.210085,0,0,0,0,0,0
1.212507,0,0,0,0,0,0
1.215041,0,0,0,0,0,0
1.217471,0,0,0,0,0,0
1.219890,0,0,0,0,0,0
1.222317,0,0,0,0,0,0
1.224748,0,0,0,0,0,0
1.227162,0,0,0,0,0,0
1.229561,0,0,0,0,0,0
1.231979,0,0,0,0,0,0
1.234660,0,0,0,0,0,0
1.237079,0,0,0,0,0,0
1.239469,0,0,0,0,0,0
1.241877,0,0,0,0,0,0
1.244291,0,0,0,0,0,0
1.246705,0,0,0,0,0,0
1.249108,0,0,0,0,0,0
1.251517,0,0,0,0,0,0
1.253920,0,0,0,0,0,0
1.256335,0,0,0,0,0,0
1.258738,0,0,0,0,0,0
1.261150,0,0,0,0,0,0
1.263555,0,0,0,0,0,0
1.265962,0,0,0,0,0,0
1.268387,0,0,0,0,0,0
1.270780,0,0,0,0,0,0
1.273197,0,0,0,0,0,0
1.275603,0,0,0,0,0,0
1.278007,0,0,0,0,0,0
1.280408,0,0,0,0,0,0
1.282815,0,0,0,0,0,0
1.285239,0,0,0,0,0,0
1.287651,0,0,0,0,0,0
1.290039,0,0,0,0,0,0
1.292451,0,0,0,0,0,0
1.294856,0,0,0,0,0,0
1.297266,0,0,0,0,0,0
1.299677,0,0,0,0,0,0
1.302086,0,0,0,0,0,0
1.304494,0,0,0,0,0,0
1.306899,0,0,0,0,0,0
1.309310,0,0,0,0,0,0
1.311723,0,0,0,0,0,0
1.314130,0,0,0,0,0,0
1.316536,0,0,0,0,0,0
1.318940,0,0,0,0,0,0
1.321344,0,0,0,0,0,0
1.323764,0,0,0,0,0,0
1.326177,0,0,0,0,0,0
1.328598,0,0,0,0,0,0
1.330992,0,0,0,0,0,0
1.333410,0,0,0,0,0,0
1.335830,0,0,0,0,0,0
1.338235,0,0,0,0,0,0
1.340643,0,0,0,0,0,0
1.343062,0,0,0,0,0,0
1.345483,0,0,0,0,0,0
1.347899,0,0,0,0,0,0
1.350288,0,0,0,0,0,0
1.352700,0,0,0,0,0,0
1.355105,0,0,0,0,0,0
1.357512,0,0,0,0,0,0
1.359924,0,0,0,0,0,0
1.362353,0,0,0,0,0,0
1.364756,0,0,0,0,0,0
1.367168,0,0,0,0,0,0
1.369580,0,0,0,0,0,0
1.371990,0,0,0,0,0,0
1.374392,0,0,0,0,0,0
1.376795,0,0,0,0,0,0
1.379197,0,0,0,0,0,0
1.381610,0,0,0,0,0,0
1.384029,0,0,0,0,0,0
1.386440,0,0,0,0,0,0
1.389044,0,0,0,0,0,0
1.391645,0,0,0,0,0,0
1.394408,0,0,0,0,0,0
1.397021,0,0,0,0,0,0
1.399638,0,0,0,0,0,0
1.402271,0,0,0,0,0,0
1.404930,0,0,0,0,0,0
1.407380,0,0,0,0,0,0
1.410011,0,0,0,0,0,0
1.412490,0,0,0,0,0,0
1.414997,0,0,0,0,0,0
1.417450,0,0,0,0,0,0
1.419947,0,0,0,0,0,0
1.422421,0,0,0,0,0,0
1.424896,0,0,0,0,0,0
1.427313,0,0,0,0,0,0
1.429764,0,0,0,0,0,0
1.432261,0,0,0,0,0,0
1.434794,0,0,0,0,0,0
1.437419,0,0,0,0,0,0
1.439882,0,0,0,0,0,0
1.442378,0,0,0,0,0,0
1.444934,0,0,0,0,0,0
1.447562,0,0,0,0,0,0
1.450039,0,0,0,0,0,0
1.452681,0,0,0,0,0,0
1.455366,0,0,0,0,0,0
1.457819,0,0,0,0,0,0
1.460320,0,0,0,0,0,0
1.462808,0,0,0,0,0,0
1.465311,0,0,0,0,0,0
1.467746,0,0,0,0,0,0
1.470219,0,0,0,0,0,0
1.472718,0,0,0,0,0,0
1.475256,0,0,0,0,0,0
1.477695,0,0,0,0,0,0
1.480205,0,0,0,0,0,0
1.482749,0,0,0,0,0,0
1.485230,0,0,0,0,0,0
1.487817,0,0,0,0,0,0
1.490292,0,0,0,0,0,0
1.492790,0,0,0,0,0,0
1.495459,0,0,0,0,0,0
1.497929,0,0,0,0,0,0
1.500407,0,0,0,0,0,0
1.502945,0,0,0,0,0,0
1.506117,0,0,0,0,0,0
1.509053,0,0,0,0,0,0
1.512695,0,0,0,0,0,0
1.516317,0,0,0,0,0,0
1.519932,0,0,0,0,0,0
1.523360,0,0,0,0,0,0
1.526792,0,0,0,0,0,0
1.530238,0,0,0,0,0,0
1.533624,0,0,0,0,0,0
1.536930,0,0,0,0,0,0
1.540237,0,0,0,0,0,0
1.543550,0,0,0,0,0,0
1.546720,0,0,0,0,0,0
1.549896,0,0,0,0,0,0
1.553068,0,0,0,0,0,0
1.556260,0,0,0,0,0,0
1.559298,0,0,0,0,0,0
1.563371,0,0,0,0,0,0
1.566987,0,0,0,0,0,0
1.570618,0,0,0,0,0,0
1.574463,0,0,0,0,0,0
1.578002,0,0,0,0,0,0
1.581459,0,0,0,0,0,0
1.584935,0,0,0,0,0,0
1.588374,0,0,0,0,0,0
1.591688,0,0,0,0,0,0
1.594993,0,0,0,0,0,0
1.598304,0,0,0,0,0,0
1.601563,0,0,0,0,0,0
1.604750,0,0,0,0,0,0
1.607936,0,0,0,0,0,0
1.611105,0,0,0,0,0,0
1.614235,0,0,0,0,0,0
1.617304,0,0,0,0,0,0
1.620370,0,0,0,0,0,0
1.623437,0,0,0,0,0,0
1.626545,0,0,0,0,0,0
1.629727,0,0,0,0,0,0
1.632432,0,0,0,0,0,0
1.635088,0,0,0,0,0,0
1.637759,0,0,0,0,0,0
1.640398,0,0,0,0,0,0
1.642773,0,0,0,0,0,0
1.645181,0,0,0,0,0,0
1.647584,0,0,0,0,0,0
1.649977,0,0,0,0,0,0
1.652371,0,0,0,0,0,0
1.654762,0,0,0,0,0,0
1.657156,0,0,0,0,0,0
1.659540,0,0,0,0,0,0
1.661926,0,0,0,0,0,0
1.664352,0,0,0,0,0,0
1.666730,0,0,0,0,0,0
1.669129,0,0,0,0,0,0
1.671521,0,0,0,0,0,0
1.673909,0,0,0,0,0,0
1.676320,0,0,0,0,0,0
1.678693,0,0,0,0,0,0
1.681097,0,0,0,0,0,0
1.683481,0,0,0,0,0,0
1.685858,0,0,0,0,0,0
1.688265,0,0,0,0,0,0
1.690650,0,0,0,0,0,0
1.693046,0,0,0,0,0,0
1.695429,0,0,0,0,0,0
1.697812,0,0,0,0,0,0
1.700207,0,0,0,0,0,0
1.702587,0,0,0,0,0,0
1.705000,0,0,0,0,0,0
1.707392,0,0,0,0,0,0
1.709772,0,0,0,0,0,0
1.712171,0,0,0,0,0,0
1.714582,0,0,0,0,0,0
1.716989,0,0,0,0,0,0
1.719367,0,0,0,0,0,0
1.721751,0,0,0,0,0,0
1.724141,0,0,0,0,0,0
1.726527,0,0,0,0,0,0
1.728932,0,0,0,0,0,0
1.731326,0,0,0,0,0,0
1.733710,0,0,0,0,0,0
1.736119,0,0,0,0,0,0
1.738491,0,0,0,0,0,0
1.740886,0,0,0,0,0,0
1.743267,0,0,0,0,0,0
1.745667,0,0,0,0,0,0
1.748073,0,0,0,0,0,0
1.750463,0,0,0,0,0,0
1.752854,0,0,0,0,0,0
1.755237,0,0,0,0,0,0
1.757631,0,0,0,0,0,0
1.760016,0,0,0,0,0,0
1.762403,0,0,0,0,0,0
1.764812,0,0,0,0,0,0
1.767193,0,0,0,0,0,0
1.769589,0,0,0,0,0,0
1.771985,0,0,0,0,0,0
1.774375,0,0,0,0,0,0
1.778077,0,0,0,0,0,0
1.780467,0,0,0,0,0,0
1.782846,0,0,0,0,0,0
1.785253,0,0,0,0,0,0
1.787649,0,0,0,0,0,0
1.790024,0,0,0,0,0,0
1.792422,0,0,0,0,0,0
1.796271,0,0,0,0,0,0
1.799952,0,0,0,0,0,0
1.803561,0,0,0,0,0,0
1.807621,0,0,0,0,0,0
1.811216,0,0,0,0,0,0
1.814716,0,0,0,0,0,0
1.819390,0,0,0,0,0,0
1.822285,0,0,0,0,0,0
1.824696,0,0,0,0,0,0
1.827110,0,0,0,0,0,0
1.829526,0,0,0,0,0,0
1.831941,0,0,0,0,0,0
1.834338,0,0,0,0,0,0
1.837855,0,0,0,0,0,0
1.840260,0,0,0,0,0,0
1.842667,0,0,0,0,0,0
1.845090,0,0,0,0,0,0
1.847489,0,0,0,0,0,0
1.849895,0,0,0,0,0,0
1.852329,0,0,0,0,0,0
1.854736,0,0,0,0,0,0
1.858247,0,0,0,0,0,0
1.860654,0,0,0,0,0,0
1.863055,0,0,0,0,0,0
1.865493,0,0,0,0,0,0
1.867908,0,0,0,0,0,0
1.870311,0,0,0,0,0,0
1.872729,0,0,0,0,0,0
1.875139,0,0,0,0,0,0
1.877559,0,0,0,0,0,0
1.879966,0,0,0,0,0,0
1.882370,0,0,0,0,0,0
1.884774,0,0,0,0,0,0
1.887181,0,0,0,0,0,0
1.889602,0,0,0,0,0,0
1.892023,0,0,0,0,0,0
1.894422,0,0,0,0,0,0
1.897564,0,0,0,0,0,0
1.900785,0,0,0,0,0,0
1.904443,0,0,0,0,0,0
1.908076,0,0,0,0,0,0
1.911701,0,0,0,0,0,0
1.915176,0,0,0,0,0,0
1.918623,0,0,0,0,0,0
1.922096,0,0,0,0,0,0
1.925516,0,0,0,0,0,0
1.928841,0,0,0,0,0,0
1.932155,0,0,0,0,0,0
1.935491,0,0,0,0,0,0
1.938779,0,0,0,0,0,0
1.942014,0,0,0,0,0,0
1.945197,0,0,0,0,0,0
1.948397,0,0,0,0,0,0
1.951658,0,0,0,0,0,0
1.954841,0,0,0,0,0,0
1.958021,0,0,0,0,0,0
1.961203,0,0,0,0,0,0
1.964381,0,0,0,0,0,0
1.967472,0,0,0,0,0,0
1.970531,0,0,0,0,0,0
1.973628,0,0,0,0,0,0
1.976687,0,0,0,0,0,0
1.979665,0,0,0,0,0,0
1.982624,0,0,0,0,0,0
1.985605,0,0,0,0,0,0
1.988578,0,0,0,0,0,0
1.991581,0,0,0,0,0,0
1.994467,0,0,0,0,0,0
1.997381,0,0,0,0,0,0
2.000264,0,0,0,0,0,0
2.003139,0,0,0,0,0,0
2.006032,0,0,0,0,0,0
2.008943,0,0,0,0,0,0
2.011838,0,0,0,0,0,0
2.014654,0,0,0,0,0,0
2.017474,0,0,0,0,0,0
2.020279,0,0,0,0,0,0
2.023078,0,0,0,0,0,0
2.025873,0,0,0,0,0,0
2.028672,0,0,0,0,0,0
2.031580,0,0,0,0,0,0
2.034329,0,0,0,0,0,0
2.037090,0,0,0,0,0,0
2.039856,0,0,0,0,0,0
2.042593,0,0,0,0,0,0
2.045385,0,0,0,0,0,0
2.048154,0,0,0,0,0,0
2.050977,0,0,0,0,0,0
2.053668,0,0,0,0,0,0
2.056360,0,0,0,0,0,0
2.059026,0,0,0,0,0,0
2.061703,0,0,0,0,0,0
2.064396,0,0,0,0,0,0
2.067081,0,0,0,0,0,0
2.069768,0,0,0,0,0,0
2.072453,0,0,0,0,0,0
2.075089,0,0,0,0,0,0
2.077730,0,0,0,0,0,0
2.080354,0,0,0,0,0,0
2.082973,0,0,0,0,0,0
2.085753,0,0,0,0,0,0
2.088410,0,0,0,0,0,0
2.091025,0,0,0,0,0,0
2.093661,0,0,0,0,0,0
2.096303,0,0,0,0,0,0
2.098861,0,0,0,0,0,0
2.101426,0,0,0,0,0,0
2.104016,0,0,0,0,0,0
2.106592,0,0,0,0,0,0
2.109557,0,0,0,0,0,0
2.112169,0,0,0,0,0,0
2.114744,0,0,0,0,0,0
2.117317,0,0,0,0,0,0
2.119916,0,0,0,0,0,0
2.122562,0,0,0,0,0,0
2.125169,0,0,0,0,0,0
2.127841,0,0,0,0,0,0
2.130332,0,0,0,0,0,0
2.132803,0,0,0,0,0,0
2.135330,0,0,0,0,0,0
2.137822,0,0,0,0,0,0
2.140459,0,0,0,0,0,0
2.142917,0,0,0,0,0,0
2.145450,0,0,0,0,0,0
2.147980,0,0,0,0,0,0
2.150487,0,0,0,0,0,0
2.152968,0,0,0,0,0,0
